t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
 5	0.6	pos	0.25575939	0.25115501	0.26052581	5.28189114	5.22055853	5.34361834	5.28632736	5.23410001	5.36110765	0.9726514	0.9639421	0.9811937	1.3391505	1.3313291	1.3511700
 5	0.9	neg	0.07455929	0.07289617	0.07604449	0.05524732	0.05423554	0.05637327	0.05524670	0.05428794	0.05616719	0.9534173	0.9435328	0.9647305	0.9528215	0.9427529	0.9639855
 5	0.9	pos	0.07373946	0.07199714	0.07622110	6.80501723	6.69207092	6.92308080	6.78105129	6.63978296	6.92301276	0.9475516	0.9329061	0.9673468	1.8200733	1.7923886	1.8488751
 6	0.0	neg	0.99406155	0.97564408	1.00875023	0.99363507	0.97326367	1.01156357	0.99491909	0.97469913	1.01645427	1.0012375	0.9909662	1.0134498	1.0011055	0.9884482	1.0114820
 6	0.0	pos	1.00443799	0.98922373	1.02033963	1.09606851	1.07308811	1.11548182	1.09452408	1.07521848	1.11393446	1.0049868	0.9947101	1.0151414	1.0279113	1.0187624	1.0384381
 6	0.3	neg	0.83259656	0.82079195	0.84375929	0.83108588	0.82055384	0.84075043	0.82906410	0.81681668	0.83792959	0.9919967	0.9836052	0.9980214	0.9927871	0.9843753	1.0013503
 6	0.3	pos	0.83754347	0.81775345	0.85724189	1.95982134	1.90510052	2.00211488	1.96383768	1.90466221	2.01146282	0.9888663	0.9771434	1.0002925	1.0811358	1.0684599	1.0936549
 6	0.6	neg	0.33120227	0.32789376	0.33465919	0.30784867	0.30421183	0.31049166	0.30774291	0.30377614	0.31126880	0.9794574	0.9713406	0.9868828	0.9800268	0.9732047	0.9872203
 6	0.6	pos	0.34083194	0.33736334	0.34443431	4.75680284	4.67252227	4.83626139	4.74799829	4.67864565	4.83308410	0.9836889	0.9795043	0.9898098	1.2764557	1.2719336	1.2813116
 6	0.9	neg	0.07999146	0.07853629	0.08153528	0.06059619	0.05933779	0.06178646	0.06070606	0.05951858	0.06189022	0.9517487	0.9400952	0.9635323	0.9518651	0.9439112	0.9627976
 6	0.9	pos	0.07798611	0.07661484	0.07941903	6.78729990	6.71258513	6.86346573	6.79239221	6.71474035	6.85719794	0.9393772	0.9279128	0.9490186	1.7784368	1.7627796	1.7917253
 7	0.0	neg	0.98610728	0.97104204	1.00496191	0.99053728	0.97491443	1.00886469	0.98880612	0.97017577	1.00709982	0.9969442	0.9868908	1.0079303	0.9969544	0.9872875	1.0071668
 7	0.0	pos	0.98852109	0.97400292	1.00179472	1.02564629	1.00687822	1.04786704	1.02337694	1.00986458	1.03861675	0.9923394	0.9839873	1.0033118	1.0061306	0.9970929	1.0187592
 7	0.3	neg	0.91754831	0.90539840	0.92749615	0.91682073	0.90529640	0.92914520	0.91630535	0.90297630	0.92877878	0.9960562	0.9886558	1.0050880	0.9967157	0.9894482	1.0039183
 7	0.3	pos	0.90987678	0.89174864	0.93131558	1.45259907	1.42192159	1.49551632	1.46142404	1.40544038	1.50750728	0.9848490	0.9723648	0.9995962	1.0465213	1.0336650	1.0570141
 7	0.6	neg	0.43173790	0.42346753	0.43888925	0.41097190	0.40360009	0.41948224	0.41086837	0.40256917	0.41837972	0.9953661	0.9833040	1.0075237	0.9944184	0.9811510	1.0073288
 7	0.6	pos	0.43380438	0.42753460	0.43978832	4.21655713	4.07253841	4.39184886	4.21963771	4.08386601	4.35993899	0.9810437	0.9704799	0.9890671	1.2195443	1.2082463	1.2313275
 7	0.9	neg	0.08706312	0.08583514	0.08863568	0.06718374	0.06567688	0.06935563	0.06736333	0.06571456	0.06951933	0.9585575	0.9495992	0.9666276	0.9594923	0.9511380	0.9681483
