t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
 8	0.0	pos	0.54795008	0.53883129	0.56036402	3.57624389	3.49592759	3.64896749	3.56379272	3.49937787	3.63390588	0.9585014	0.9502310	0.9677524	1.1503036	1.1397491	1.1608131
 8	0.3	neg	0.41363171	0.40813109	0.41844018	0.34181420	0.33748077	0.34569297	0.34142015	0.33724699	0.34566711	0.9673111	0.9592297	0.9747130	0.9678450	0.9612513	0.9745830
 8	0.3	pos	0.41504532	0.40609407	0.42098647	4.41483421	4.34657037	4.49282154	4.41793936	4.35190093	4.48440983	0.9680302	0.9587223	0.9761510	1.2362511	1.2227089	1.2501339
 8	0.6	neg	0.25053833	0.24673682	0.25360807	0.17384817	0.17146393	0.17597593	0.17375374	0.17116922	0.17599069	0.9618972	0.9536390	0.9707853	0.9615127	0.9536757	0.9683782
 8	0.6	pos	0.25306859	0.24996547	0.25664693	5.29701244	5.15501327	5.41608841	5.26376279	5.12949580	5.40157817	0.9600695	0.9551754	0.9645657	1.3734444	1.3594885	1.3881435
 8	0.9	neg	0.13158813	0.13024070	0.13320941	0.06756899	0.06660973	0.06854349	0.06735151	0.06640672	0.06847696	0.9424002	0.9332159	0.9515546	0.9420792	0.9335290	0.9510233
 8	0.9	pos	0.12867543	0.12766459	0.12962931	6.29368084	6.16311711	6.43623636	6.28847873	6.16757765	6.41547740	0.9396230	0.9329173	0.9488038	1.6885527	1.6714564	1.7029859
 9	0.0	neg	0.58081075	0.57226701	0.59107593	0.54005557	0.53069778	0.54684488	0.53944835	0.53114246	0.54721435	0.9727553	0.9635952	0.9847074	0.9730044	0.9640532	0.9840135
 9	0.0	pos	0.58893370	0.57977613	0.59730250	3.30567666	3.23150068	3.39913666	3.30816932	3.22766568	3.40026122	0.9696133	0.9634382	0.9740201	1.1437289	1.1347320	1.1529708
 9	0.3	neg	0.44538513	0.43651334	0.45406508	0.38449727	0.37746231	0.39224429	0.38420700	0.37468389	0.39206878	0.9838075	0.9742668	0.9934903	0.9821721	0.9727667	0.9903176
 9	0.3	pos	0.42927194	0.42156122	0.43786515	4.23490326	4.09789828	4.32765525	4.23380659	4.09754448	4.35530483	0.9645013	0.9517560	0.9774655	1.2115652	1.1961286	1.2247401
 9	0.6	neg	0.25211106	0.24823077	0.25591681	0.18529167	0.18219510	0.18800326	0.18529148	0.18262702	0.18783194	0.9626372	0.9562529	0.9698892	0.9628120	0.9551726	0.9691427
 9	0.6	pos	0.25262510	0.24911629	0.25688435	5.37428830	5.26816409	5.46155560	5.38048694	5.27610752	5.46054649	0.9548062	0.9495542	0.9608062	1.3620589	1.3507392	1.3719878
 9	0.9	neg	0.12040432	0.11857526	0.12300804	0.06697302	0.06576190	0.06816504	0.06695405	0.06577791	0.06812138	0.9446232	0.9339033	0.9546772	0.9444968	0.9353772	0.9555877
 9	0.9	pos	0.11953658	0.11669819	0.12171357	6.39237086	6.30867195	6.48882686	6.40417112	6.29423053	6.50219315	0.9447614	0.9296334	0.9554086	1.7100868	1.6902406	1.7293138
10	0.0	neg	0.63650761	0.62686956	0.64598542	0.60280406	0.59343730	0.61348083	0.60215338	0.59324744	0.61176420	0.9941516	0.9841182	1.0033516	0.9945122	0.9857600	1.0038344
10	0.0	pos	0.61071587	0.59736924	0.62229652	3.17324443	3.11403835	3.25413983	3.16972950	3.10606268	3.24303017	0.9664204	0.9562243	0.9759817	1.1304220	1.1181130	1.1431065
10	0.3	neg	0.46662312	0.45614767	0.47492110	0.41418881	0.40464633	0.42132871	0.41428208	0.40635030	0.42327400	0.9820386	0.9725622	0.9906059	0.9825705	0.9707962	0.9936261
10	0.3	pos	0.46119518	0.45214514	0.46931295	4.16355598	4.06328734	4.26393315	4.17058024	4.07447683	4.27985893	0.9734060	0.9633596	0.9856243	1.2092813	1.1996044	1.2186660
10	0.6	neg	0.26193559	0.25662428	0.26641056	0.20267736	0.19960165	0.20568089	0.20265202	0.19983512	0.20527167	0.9668350	0.9560103	0.9764349	0.9670513	0.9568783	0.9768808
10	0.6	pos	0.26386940	0.26041688	0.26680064	5.34638075	5.27930812	5.41258916	5.33622358	5.27112155	5.40502073	0.9571818	0.9511472	0.9640988	1.3471979	1.3402753	1.3537722
10	0.9	neg	0.11315319	0.11192327	0.11512269	0.06559169	0.06414589	0.06686181	0.06546078	0.06428600	0.06707243	0.9447687	0.9404076	0.9517459	0.9447810	0.9393734	0.9504934
10	0.9	pos	0.10884636	0.10642405	0.11090623	6.40693020	6.32097100	6.47181218	6.40117096	6.30263227	6.48520226	0.9256589	0.9159545	0.9365151	1.6937744	1.6774020	1.7118222
11	0.0	neg	0.64487686	0.62903340	0.65867522	0.62146259	0.60880777	0.63655128	0.62107643	0.60674541	0.63689041	0.9799112	0.9681776	0.9926012	0.9793424	0.9678929	0.9938933
11	0.0	pos	0.65027306	0.64246493	0.65542051	2.88967935	2.82627033	2.96014285	2.88164078	2.81909271	2.93774102	0.9778820	0.9737416	0.9818279	1.1222820	1.1167769	1.1271297
11	0.3	neg	0.48851544	0.47979590	0.49678794	0.44679010	0.43900674	0.45406783	0.44609604	0.43592548	0.45293245	0.9779985	0.9685057	0.9873949	0.9788781	0.9689001	0.9894457
11	0.3	pos	0.49121967	0.48538866	0.49698271	4.02432090	3.92943169	4.12061180	4.02108580	3.93580018	4.12642195	0.9771168	0.9693217	0.9841091	1.1984826	1.1850165	1.2091358
11	0.6	neg	0.27061846	0.26593527	0.27526394	0.21751487	0.21373697	0.22107777	0.21768943	0.21442691	0.22177873	0.9659570	0.9593770	0.9721464	0.9672835	0.9601471	0.9745231
11	0.6	pos	0.27582961	0.27033954	0.28141542	5.30494937	5.14996565	5.41619960	5.29328641	5.10434713	5.41052670	0.9635504	0.9530184	0.9765034	1.3360176	1.3213317	1.3485047
11	0.9	neg	0.10713812	0.10576755	0.10851977	0.06583737	0.06477811	0.06717308	0.06582378	0.06474026	0.06684323	0.9421898	0.9356049	0.9497864	0.9418113	0.9362439	0.9479356
11	0.9	pos	0.10769063	0.10622456	0.10926540	6.52730189	6.42519700	6.64316140	6.51787133	6.42531740	6.62112936	0.9508498	0.9426832	0.9590722	1.7294455	1.7144740	1.7427677
12	0.0	neg	0.66889735	0.65726351	0.68225494	0.65131382	0.64000101	0.66308148	0.65117488	0.63960998	0.66270309	0.9743019	0.9632850	0.9851918	0.9740464	0.9637853	0.9875205
12	0.0	pos	0.69009691	0.67468048	0.70116646	2.84566317	2.75138052	2.93303938	2.84954918	2.73438200	2.96034590	0.9880262	0.9798825	0.9952095	1.1284704	1.1127811	1.1404871
12	0.3	neg	0.51637482	0.50960416	0.52237748	0.48077910	0.47498173	0.48521219	0.48067976	0.47516494	0.48601085	0.9805385	0.9708235	0.9894350	0.9804763	0.9716719	0.9888453
12	0.3	pos	0.51764390	0.50901561	0.52888742	3.90035235	3.82766513	3.97307042	3.90226274	3.83660951	3.96651282	0.9815929	0.9737274	0.9897937	1.1923071	1.1820294	1.2042624
12	0.6	neg	0.28429066	0.28103619	0.28788371	0.23736897	0.23481546	0.24011772	0.23721916	0.23429986	0.24024158	0.9652589	0.9572402	0.9731051	0.9654236	0.9588625	0.9733549
12	0.6	pos	0.29314907	0.28859152	0.29793122	5.17131565	5.04785237	5.27988382	5.17245920	5.04921393	5.26920197	0.9773881	0.9685130	0.9877144	1.3295551	1.3147046	1.3437416
12	0.9	neg	0.10373994	0.10262645	0.10482901	0.06598425	0.06509293	0.06719484	0.06608272	0.06520463	0.06717381	0.9480796	0.9415498	0.9561918	0.9482239	0.9409272	0.9552100
12	0.9	pos	0.10196801	0.10000369	0.10400514	6.58748856	6.50015158	6.71321396	6.58433944	6.47778866	6.69503980	0.9385074	0.9235102	0.9540265	1.7195797	1.6995192	1.7388730
13	0.0	neg	0.70920287	0.69695225	0.72216793	0.69463939	0.68501948	0.70528340	0.69514089	0.68576263	0.70675031	0.9889624	0.9798080	0.9957674	0.9900087	0.9824647	0.9997364
13	0.0	pos	0.70249216	0.68962031	0.71600035	2.66044502	2.60468958	2.73386492	2.65350124	2.58041876	2.73028049	0.9748043	0.9632197	0.9874347	1.1057407	1.0908968	1.1194743
13	0.3	neg	0.54925086	0.53957858	0.55647598	0.51949286	0.51207500	0.52763816	0.51813335	0.51138353	0.52485905	0.9878297	0.9781122	0.9973891	0.9877870	0.9804242	0.9946620
13	0.3	pos	0.53722302	0.53083673	0.54782966	3.52223137	3.44124971	3.64343601	3.51897652	3.42758273	3.62111389	0.9670496	0.9592624	0.9734832	1.1536354	1.1422976	1.1643201
13	0.6	neg	0.30864995	0.30506199	0.31172014	0.26682215	0.26413696	0.26969231	0.26614506	0.26168329	0.26979239	0.9841614	0.9795581	0.9889253	0.9843479	0.9779426	0.9894622
13	0.6	pos	0.30828592	0.30202657	0.31380472	5.14916161	5.08714153	5.21059637	5.14670728	5.08106013	5.21045111	0.9749855	0.9636765	0.9865749	1.3120672	1.3013029	1.3221778
13	0.9	neg	0.10076400	0.09901471	0.10288908	0.06722877	0.06570224	0.06885755	0.06703313	0.06554396	0.06843883	0.9524823	0.9456350	0.9600072	0.9522156	0.9452848	0.9615308
13	0.9	pos	0.10084411	0.09936215	0.10294318	6.61528560	6.51949431	6.70462334	6.60365316	6.49712604	6.73854997	0.9508602	0.9424895	0.9610430	1.7271540	1.7141966	1.7428073
14	0.0	neg	0.73664882	0.71867151	0.75576190	0.72464890	0.70538444	0.74011353	0.72344371	0.70408497	0.74236584	0.9864925	0.9688170	1.0028646	0.9868009	0.9753802	1.0006000
14	0.0	pos	0.75040046	0.74260375	0.75893307	2.48674771	2.42830999	2.55432943	2.48322788	2.41959471	2.53925717	0.9946553	0.9902005	0.9991970	1.1142807	1.1068885	1.1209315
14	0.3	neg	0.58763989	0.57626420	0.59617199	0.56314010	0.55343050	0.57192965	0.56378269	0.55332555	0.57138814	0.9964149	0.9806725	1.0082081	0.9966655	0.9825104	1.0057758
14	0.3	pos	0.57116620	0.55825040	0.58632612	3.47820543	3.36078203	3.60709644	3.48028809	3.37150501	3.58845263	0.9740282	0.9612583	0.9872956	1.1548207	1.1366565	1.1732949
14	0.6	neg	0.31901094	0.31421386	0.32536328	0.28309319	0.27783368	0.28739837	0.28351251	0.27731501	0.28804462	0.9705673	0.9615831	0.9793289	0.9718617	0.9637904	0.9808905
14	0.6	pos	0.31847563	0.31338123	0.32361980	4.94162632	4.80241291	5.07008853	4.93838179	4.80966416	5.07257821	0.9619762	0.9533253	0.9693258	1.2769545	1.2656163	1.2900851
14	0.9	neg	0.09977686	0.09794719	0.10159192	0.06920168	0.06778384	0.07023117	0.06916343	0.06810816	0.07033324	0.9552419	0.9478013	0.9636859	0.9560487	0.9476569	0.9685620
14	0.9	pos	0.09972955	0.09734825	0.10161406	6.68976479	6.59064853	6.81732636	6.69309247	6.57916541	6.80976987	0.9495323	0.9363609	0.9630474	1.7247017	1.7031645	1.7442299
15	0.0	neg	0.74945901	0.73759008	0.76005424	0.74139646	0.73261935	0.75161297	0.74111622	0.72839461	0.74971342	0.9838518	0.9743181	0.9927084	0.9838381	0.9738791	0.9927227
15	0.0	pos	0.76548562	0.75614343	0.77567659	2.38798144	2.37011939	2.41175498	2.38388922	2.36427971	2.40369472	0.9883091	0.9819447	0.9960867	1.1034763	1.0975537	1.1102962
15	0.3	neg	0.59836608	0.58547990	0.60914490	0.57984580	0.56732407	0.59226538	0.58032576	0.56798448	0.59416197	0.9817463	0.9733025	0.9901224	0.9812791	0.9692003	0.9904220
15	0.3	pos	0.61404615	0.60016961	0.62549999	3.24510390	3.18846853	3.31009668	3.24665814	3.18491860	3.29618503	0.9868015	0.9722918	1.0002662	1.1500337	1.1377552	1.1636086
15	0.6	neg	0.35018067	0.34366020	0.35634758	0.31665386	0.31011549	0.32386967	0.31699626	0.31095039	0.32413832	0.9855029	0.9770288	0.9951180	0.9862965	0.9765190	0.9962618
15	0.6	pos	0.34754382	0.34035975	0.35347337	4.83108352	4.74545320	4.93737175	4.82917246	4.72832103	4.92854801	0.9726240	0.9594414	0.9831882	1.2706052	1.2547933	1.2834712
15	0.9	neg	0.09894759	0.09662378	0.10089910	0.07132386	0.06979529	0.07323423	0.07108378	0.06902755	0.07284153	0.9538345	0.9419877	0.9646720	0.9546053	0.9447332	0.9650628
15	0.9	pos	0.09720076	0.09442177	0.10003774	6.66472591	6.56959042	6.76635711	6.65702810	6.55898404	6.76776048	0.9412414	0.9236861	0.9592033	1.7026953	1.6781891	1.7275886
16	0.0	neg	0.77498894	0.76371785	0.78859140	0.76829431	0.75540982	0.77935716	0.76834024	0.75458508	0.78100645	0.9869878	0.9788473	0.9961882	0.9867820	0.9782449	0.9945150
