t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
14	0.9	zero	0.66748169	0.62294689	0.71898483	0.07934952	0.07808726	0.08061279	1.03581652988611	0.936830367518954	0.05804263878363	0.0401661071066243	0.000777416476905071	0.10095113	0.09862664	0.10249073	0.77438448	0.72816055	0.82489333	0.76990545	0.72989744	0.81692179	0.9470102	0.9383972	0.9560155	1.0287412	1.0200236	1.0367595
15	0	neg	0.72730031	0.716881	0.7364604	0.73569975	0.72087002	0.74602603	0.990345356	0.937253308	0.058898113	0.005810015	-0.011616081	0.74998519	0.73767042	0.76190116	0.74067044	0.72895131	0.74935543	0.7402879	0.72805487	0.75009177	0.9827015	0.9720152	0.9890681	0.9837844	0.9751373	0.9930516
15	0	pos	2.36842284	2.35018108	2.39176338	0.75132796	0.74149205	0.76152402	1.099546172	0.937253308	0.058898113	0.005810015	0.097584735	0.76574996	0.75465485	0.77484341	2.38660121	2.36783998	2.40431936	2.38548158	2.36658015	2.40380391	0.9882426	0.9818956	0.9963402	1.1041105	1.0978246	1.1104209
15	0	zero	0.8933976	0.8761826	0.91644367	0.72146247	0.71163472	0.73319529	1.00209746357712	0.937249478605992	0.058891212090232	0.00584366846336383	0.000113104417536156	0.73586218	0.72385822	0.74836705	0.90879905	0.89161777	0.9331236	0.91128637	0.891213	0.93457902	0.9730761	0.9642552	0.9819181	0.9801828	0.9721535	0.9885902
15	0.9	neg	0.05594928	0.05449705	0.05751423	0.07790511	0.07639581	0.07953602	0.956479692	0.937253308	0.058898113	0.039698713	-0.079370442	0.09903882	0.09664849	0.10136402	0.07133187	0.06956396	0.07288819	0.07125094	0.06921847	0.07325547	0.954519	0.9445639	0.9646316	0.9539622	0.9420275	0.9672673
15	0.9	pos	5.84359771	5.77035652	5.92834547	0.07643107	0.07427174	0.07833989	1.70262783	0.937253308	0.058898113	0.039698713	0.666777696	0.0968761	0.0942861	0.09949833	6.66341843	6.56401633	6.78864355	6.64930486	6.56856406	6.77500133	0.9391912	0.9228042	0.9557153	1.7034513	1.676435	1.7246397
15	0.9	zero	0.66503623	0.64036435	0.69398158	0.07954678	0.07803937	0.0810663	1.03666912097611	0.93724422954223	0.0588718596514692	0.0397830297812016	0.000770002001214863	0.10061025	0.09878434	0.10216872	0.76414679	0.73546391	0.7975659	0.76249003	0.73467481	0.79101545	0.9530974	0.9448374	0.9614166	1.030038	1.0222483	1.0364803
16	0	neg	0.75525584	0.74524648	0.76556374	0.7618852	0.75031432	0.77320887	0.991741909	0.937652449	0.05950678	0.005421005	-0.010838326	0.77405004	0.76285653	0.78799324	0.76889024	0.75769849	0.78254772	0.76723282	0.75451899	0.78043946	0.9874397	0.9786494	0.9961339	0.9884262	0.9798996	0.9983978
16	0	pos	2.19679027	2.15218062	2.25066749	0.76776679	0.753912	0.78537125	1.093631179	0.937652449	0.05950678	0.005421005	0.091050944	0.78146588	0.76400594	0.79949366	2.21117197	2.15012523	2.26241922	2.21501899	2.16404865	2.26465915	0.9845663	0.9699097	0.9975734	1.0896576	1.0776627	1.1044121
16	0	zero	0.93686379	0.90171076	0.96866594	0.77417862	0.76386684	0.78953659	1.0027378611655	0.937650237147133	0.0595037813678641	0.00547781925776384	0.000106023392737286	0.78643236	0.77581265	0.79955562	0.94793288	0.91617246	0.97712775	0.95369709	0.93084221	0.98393195	0.99385	0.9861369	0.9990892	1.0010659	0.9920246	1.0082543
