t	P	cov	vg_zeros	vg_123	vg_zeros_noa	vg_zeros_gcta	var.pheno	vg_HEreg_new	vg_zero_adj	vg.term1	vg.term2	vg.term3	vg.term4	vg.sum	var.pheno.j
10	0.3	zero	0.429989473	0.975233474	0.765768727443315	0.6119776	1.24889053324447	0.764293031197671	0.429989473350569	0.935037136143405	0.0521628952653483	0.0120048271375879	0.000232353869753507	0.999437212416094	1.2453526719701
10	0.6	zero	0.240194801	0.967025673	0.705203803670627	0.5497485	1.14580206001395	0.629902963789579	0.240194800929693	0.93503620961602	0.0521577763439663	0.0201915062302634	0.000390807343994492	1.00777629953424	1.27635181364279
10	0.9	zero	0.090693051	0.94702168	0.64590214018705	0.4960701	1.16755242113574	0.579187846308049	0.0906930506269996	0.935021097722824	0.0520894895149324	0.0402274382479829	0.000778603543396553	1.02811662902914	1.29715653137643
11	0	zero	0.622340589	0.981928491	0.868854757915965	0.6993101	1.1857723822774	0.829222603227647	0.622340588895456	0.935511533669291	0.054083413534592	0.0076974855299268	0.000148985114883502	0.997441417848694	1.23973557984622
11	0.3	zero	0.458734493	0.978383206	0.791515985854483	0.6315515	1.19264477651337	0.753216597574184	0.458734492864343	0.935511098304447	0.0540811323021248	0.0112520697207771	0.00021778422232943	1.00106208454968	1.24820807690662
11	0.6	zero	0.250280266	0.970307349	0.743195680548378	0.5833949	1.23476401133325	0.72035502691536	0.250280266020527	0.935509280237997	0.0540727182196447	0.0192894735277631	0.000373348467938383	1.00924482045334	1.26801845256032
11	0.9	zero	0.085180079	0.949028375	0.653966863591235	0.5060057	1.2257964152409	0.620259973151462	0.0851800787739343	0.935497228037511	0.0540236515206255	0.040540179498705	0.000784656661780017	1.03084571571862	1.28911005366731
12	0	zero	0.658454929	0.984507168	0.872022571468456	0.6972149	1.24755643967443	0.869814938331964	0.658454929439359	0.935969986008774	0.0556911710182447	0.00718843365027825	0.000139132397073739	0.998988723074371	1.24901961447444
12	0.3	zero	0.498764625	0.981170829	0.80373134467206	0.6372337	1.26542112986192	0.806368988640092	0.498764625062494	0.935969190254053	0.0556878160608779	0.0105132086223511	0.000203483538657602	1.00237369847594	1.257639449436
12	0.6	zero	0.261843704	0.97330614	0.735432039907356	0.5780549	1.26048195073907	0.728627767986278	0.261843703768457	0.93596796035857	0.055682031168222	0.0183664115949232	0.000355482570357404	1.01037188569207	1.26696480787515
12	0.9	zero	0.082047557	0.950985519	0.651028862171124	0.5050614	1.25556373232017	0.63413677643485	0.0820475567600455	0.935955522470532	0.0556374363499237	0.0406435746060696	0.000786657877877042	1.0330231913044	1.28583750480158
13	0	zero	0.693319997	0.986750755	0.912789625452884	0.7263034	1.29497632508021	0.940545707825262	0.693319997460744	0.936411015797974	0.0570082453517143	0.00670238570310452	0.000129724921221133	1.00025137177401	1.25556722198889
13	0.3	zero	0.511818508	0.98361978	0.817452737537711	0.6575426	1.28397229423985	0.844266480682436	0.511818507848393	0.936409858837323	0.0570041735879663	0.00982357699476201	0.000190135693200252	1.00342774511325	1.24109574120824
13	0.6	zero	0.278733015	0.97602272	0.751057629595835	0.5933682	1.27632886641825	0.757332962074637	0.278733014939591	0.936409594435806	0.0570013682912381	0.0173970791845969	0.000336721105986826	1.01114476301763	1.26222095799577
13	0.9	zero	0.079920906	0.952881289	0.674465796232859	0.5221938	1.25905836777561	0.657472473490543	0.0799209055119662	0.936400381797448	0.0569712512782247	0.0405275711126041	0.000784412626004381	1.03468361681428	1.28913890456203
14	0	zero	0.71340482	0.988686905	0.912059901311858	0.7320221	1.27569009132127	0.933833339598188	0.713404820054551	0.936838883145133	0.0580708243364153	0.00625425376902099	0.00012105131119318	1.00128501256176	1.24604938661197
14	0.3	zero	0.559317412	0.985754174	0.848428388416063	0.6723575	1.25329772525957	0.842664125311211	0.559317412182201	0.936840415592661	0.0580732805316942	0.00919752130972729	0.000178018362443899	1.00428923579653	1.26038509515495
14	0.6	zero	0.297712599	0.978462982	0.738385449352169	0.5845191	1.23890365854113	0.724162851477169	0.297712598552384	0.936838344957477	0.0580664700360555	0.016466493067322	0.000318709577540016	1.01169001763839	1.25986137207302
